Name,Weight,IS CAGR,IS Vol,IS Sharpe,IS Sortino,IS IR,IS MaxDD,OS CAGR,OS Vol,OS Sharpe,OS Sortino,OS IR,OS MaxDD
Equal Weight,,14.43636902265375,8.333096991341716,1.7324134157628885,3.9231110812174177,1.6683964977260926,10.00500482980432,5.61428228973031,8.65467346488442,0.648699493113145,1.0670414800385113,0.6755404320296372,13.765129368800544
User Weight,,14.43636902265375,8.333096991341716,1.7324134157628885,3.9231110812174177,1.6683964977260926,10.00500482980432,5.61428228973031,8.65467346488442,0.648699493113145,1.0670414800385113,0.6755404320296372,13.765129368800544
,,,,,,,,,,,,,
Fulcrum Multi Asset Trend Fund,3.4722222222222223,16.674353383296257,11.889587465366887,1.402433299882514,2.7331654601548894,1.3639043919095024,11.317110472054125,10.01922975862055,11.743798016614234,0.8531507221467967,1.5843610788010316,0.873163547804039,12.372790388533982
Kaiser Global Diversified Program,2.7777777777777777,19.042702409414325,11.95728455539661,1.5925607792632062,2.8673658058700977,1.5276452547033716,12.406605920866365,14.869170562652801,14.046284780398654,1.0585838743211635,1.719944496005563,1.0617723440138072,18.4444342649133
FORT Global Contrarian Program,3.4722222222222223,15.750917282398525,11.920249731469102,1.3213579947756107,2.602641906081615,1.2932193735181825,13.671615558996908,3.4866788016729933,10.768859091752493,0.32377420597353007,0.46843394630957697,0.3720286999387036,12.761685268941669
The Winton Fund,4.166666666666666,12.41521991742025,11.938785602250059,1.0399064302721375,1.942252547632429,1.0438680764853199,12.696846536727623,8.175612247083098,11.17235994403655,0.7317712898649473,1.3169292487175024,0.7602201006180387,9.672772783376482
Campbell Managed Futures Portfolio,1.3888888888888888,12.541337301445399,11.91426812047281,1.0526317835583259,2.094726390521326,1.0543002478920815,12.132883369479131,-8.739547426627459,16.900316189563906,-0.5171233087357388,-0.6437421725465378,-0.45670059284268444,21.965000824192384
Transtrend Diversified Trend Program,2.7777777777777777,13.854602482371693,11.908824478197952,1.1633895946435324,2.3848875916784325,1.1536361167227216,11.264918534334178,12.95863430580846,12.64840750898597,1.024526945119541,2.152619360455955,1.028923146792738,14.554501860815005
Winton Diversified Macro,2.7777777777777777,13.389534812555514,11.915416155243062,1.1237152473825942,2.059122417827839,1.1188203995632688,10.207480195578277,4.624601583221999,10.06680794314298,0.45939106113294365,0.7792840688160529,0.4988984902775283,11.988734727440676
Lynx Fund,1.3888888888888888,10.69243065772454,11.917579025590667,0.8971982174202191,1.7197676791933987,0.9138260072614169,9.395722806296824,7.069278865133244,15.771359846752626,0.4482352145803605,0.7087141159574682,0.5099062857182843,9.604489009318584
Systematica BlueTrend,2.7777777777777777,17.715518972349997,11.881339824934308,1.491037141717975,3.0290083901031384,1.4404239713171827,10.742208140423804,12.360556274141432,12.037182582404482,1.0268645664816654,1.8823865973146758,1.0312835919852221,9.313583910752566
Conquest Macro Fund,0.6944444444444444,15.430461663564476,12.000000000000002,1.2858718052970395,2.7824734296114833,1.260075721999036,11.382475930641201,22.113954340259667,12.847014473167718,1.7213302270692452,3.3675407855533455,1.6267834143749058,4.853250524048436
ETC Evolution Strategy,1.3888888888888888,13.372133446551437,11.921107603208581,1.121719045883984,2.308196982301897,1.1157624817630096,8.0448360019602,15.923091377190236,12.747209845445006,1.2491432690174213,2.43088423533097,1.2264885870320665,10.963894051796974
Quantica Managed Futures Program,4.166666666666666,10.253619828305304,11.882774916912698,0.862897757468365,1.570715534209036,0.8832736675812383,13.800995743613221,3.5039872633031877,12.710796397832732,0.2756701589446149,0.40840878566457794,0.3345766281885466,30.38034042036718
Boronia Diversified Program,3.4722222222222223,15.407858762399629,11.986913898706094,1.2853899588002216,2.502654804943644,1.2615564187507071,15.662986785098731,2.7534642365549367,16.742761307293392,0.16445699643077916,0.26627844140362267,0.24363927280524514,25.896493885709404
RGN Diversified Program,1.3888888888888888,17.940309981786797,11.971692308462845,1.4985608984541563,3.1940296170946105,1.4457404651490817,14.45934513042203,-8.22987394603829,10.04785145880287,-0.8190680345725198,-0.9553158617528028,-0.8029334652917427,18.00869444194465
Drury Diversified Trend-Following Program,1.3888888888888888,13.049911628047672,11.91633330598138,1.0951281147445997,2.3915902754270633,1.0917368227931321,7.139337189727824,-3.688473584102414,10.270938420834723,-0.3591174859563271,-0.4661344587360088,-0.31586671566175434,13.847338397949017
Trend Plus Strategy (PGIM),2.083333333333333,13.19492665153228,11.911793158646933,1.1077195914834956,2.4295241090250004,1.103592602439162,12.33959290470511,-2.1723575735874023,10.736349806466455,-0.20233669848191804,-0.2945179177757526,-0.15247502479301564,19.422914922236888
Auspice Diversified Trust,0.6944444444444444,13.899140272444498,12.0,1.158261689370375,3.2196892012253024,1.1465532459566048,7.060605955511368,-1.4291068877435031,7.248275437445539,-0.19716509121060025,-0.30582435287340176,-0.16541678192135775,7.592687987298763
AHL Evolution,7.638888888888889,14.48474526730652,11.864088067411767,1.220889897732061,2.4327564538565603,1.204785753551294,11.85361725656352,11.821061282587241,12.242747281825059,0.9655562604102896,1.772530599017436,0.9768689433743609,9.90701461999921
FORT Global Diversified Program,2.7777777777777777,14.46925064969209,11.930306792517852,1.212814632626761,2.625046802963592,1.1970995302851966,11.416293761760453,0.1659061013673302,12.435921906427309,0.01334087674526038,0.01602172767615136,0.07854798776843935,19.70208753356164
FORT Global Futures Program,2.083333333333333,15.962394382544232,11.939775793090913,1.3369090558451737,3.0958100722923443,1.3057627205173412,11.123422335708288,5.424771675066098,8.807797728964434,0.6159055693600617,0.9720714209559665,0.643889823617861,11.468780310504078
