Name,Weight,IS CAGR,IS Vol,IS Sharpe,IS Sortino,IS IR,IS MaxDD,OS CAGR,OS Vol,OS Sharpe,OS Sortino,OS IR,OS MaxDD
Equal Weight,,17.880947151022262,19.0105119816743,0.940582093120853,1.6954782005590334,0.9650328090002418,30.665048211770706,9.561723280362644,19.366854487498752,0.49371586317926375,0.813397861702451,0.5689724133150382,28.41200706069792
User Weight,,20.39774415705684,19.06703924439106,1.0697908519308907,1.9880723969468166,1.0749531260059313,27.72810212210861,9.424089953742843,19.221177366586062,0.4902972265437602,0.7979938442298975,0.5654141803652942,30.36219556201146
,,,,,,,,,,,,,
Lynx Fund,5.713592970963843,14.095184912221438,24.808603966451635,0.568157117235705,0.9559376683943469,0.6562769519697719,36.85451376473638,10.280001545283945,28.57170335476435,0.35979659377114975,0.5811274138656195,0.4840886426708373,50.36264835584438
Transtrend Diversified Trend Program,6.085115705472991,11.802722039438907,24.992356653383034,0.4722532653934921,0.8076136590521807,0.5707194488273993,58.22584337232182,9.240956531609722,26.85174405071508,0.3441473490197233,0.582490676412783,0.46087542880647164,31.798958272765088
Winton Diversified Macro,9.578184352306945,15.912142201430356,24.846582549524218,0.6404157259741564,1.0986442082345076,0.7205722861735839,34.209758358235554,6.197109950035284,23.547171437459887,0.2631785293827965,0.4223126604638048,0.3720273518629841,58.38208418473467
The Winton Fund,8.834515092660574,19.41531977568285,24.87211849999742,0.7806057926141218,1.3886951015006364,0.8409106764934385,41.848074240452426,12.52294928654032,22.186156485079913,0.5644487946779762,0.9694618898696509,0.6431781238355727,29.184331901310788
Kaiser Global Diversified Program,8.943079168195146,14.045207627543776,25.15829467062965,0.5582734367103372,0.9315143279612782,0.6495662112555552,36.883767620707275,10.965668355047908,27.288540091087164,0.40184151729793177,0.6567615318862104,0.5175750049289567,39.875970563377514
Campbell Managed Futures Portfolio,0.5811225131965754,12.996043314075578,24.999999999999996,0.5198417325630232,0.8916781686791584,0.6109557878930708,21.55188015684295,-16.830729364498797,44.630311963179125,-0.3771143114210019,-0.4958644162557607,-0.19393113367194367,37.40043973280693
ETC Evolution Strategy,6.146861867026941,10.307998794093965,24.89029502992795,0.4141372684293088,0.6921907052830938,0.5177731088486597,50.53970562151014,6.737330892035498,27.598252044963722,0.24412165238069714,0.4010153873603835,0.37085520292564,44.29222532067413
Fulcrum Multi Asset Trend Fund,5.933796682751957,23.67538798746358,24.918730211408256,0.950104109904627,1.741752535417809,0.9815860977282344,27.315296717825397,14.160568030558363,24.683420649563395,0.5736874249156726,0.9846459481078593,0.6592811309537362,27.521538990658268
Systematica BlueTrend,5.703320242669877,18.575698716484833,25.159339235445138,0.7383222008595083,1.2190429179104283,0.8073001042213312,53.74399845694502,5.230397842812318,24.626313896019706,0.2123906105029261,0.3167577200945606,0.3302012872939981,37.468606726891586
Drury Diversified Trend-Following Program,0.93169243965972,9.495313897222001,25.048474341299293,0.37907753453735776,0.6127677566025849,0.48496055551382894,35.77342631072543,-17.763668291855016,19.28132341017439,-0.9212888510796652,-1.0349888361588628,-0.9113997286745537,33.41002969950318
Auspice Diversified Trust,1.466282300193233,8.561636015055484,24.914224649538152,0.3436444896636266,0.6185802004749622,0.4498934100167485,45.46330672438813,-18.102533559151148,18.20900850971953,-0.9941526222851973,-1.112380840868405,-0.9963413948449091,49.023732053435445
Quantica Managed Futures Program,5.890794456415165,10.726576786215158,24.736747834551622,0.4336292247452418,0.685841892242485,0.5372708487000001,48.68054044012582,10.938509925307006,26.909598616257114,0.4064910101891536,0.6193895664577366,0.5229248042101562,45.37535101723381
FORT Global Trend Program,5.513004860883094,10.91483779884257,24.75167158018145,0.4409737646802824,0.7593922899885391,0.5412502209494405,41.078840617963955,4.70687547993387,26.889434686164815,0.17504553497941916,0.2748951432045588,0.30429383122231496,46.51346183024491
AlphaSimplex Managed Futures Strategy,2.789013156445231,12.996841084794264,25.122894436211197,0.5173305614842335,0.8702218488915541,0.6120310475322294,57.23558935724444,-16.869496854216635,25.813151912295595,-0.6535233245259436,-0.8238341020933689,-0.580993591083809,52.74381125652723
HYDRA Platform Metori Global Trend Cell,5.220333383875233,15.213382349786485,24.803496894382548,0.6133563511051535,1.1680206611597455,0.6937728492638241,39.14954078859322,16.528833449163894,26.674852184222697,0.6196410512422692,1.1316331730817772,0.7057002460127049,27.9212710043376
CFM ISTrends Program,1.3120861061276725,9.441573935106828,25.012521704200786,0.3774738927471332,0.5886378446126996,0.48539975420508813,32.81473521359099,-7.891847404491625,23.048510303155442,-0.34240162599190616,-0.45701571227874943,-0.24366000077490885,31.121634515984752
Revolution Mosaic Institutional Program,2.114694787161184,6.976886731259069,24.744143955208884,0.2819611276061286,0.45750381251567557,0.39453868989479246,31.16383709120565,9.165766349175875,22.946360256770934,0.39944314682635873,0.7022206867308611,0.49299670606991475,28.04443939693444
Man AHL Trend Alternative,2.3419526471890233,9.095630707156111,24.75487108201404,0.367427916591521,0.6154553203705351,0.47407863642999737,28.065774310408408,15.518418306751647,26.782312895986095,0.5794278622246033,1.0266574928764696,0.6701748631826832,24.422253905606862
Trend Plus Strategy (PGIM),2.7739959697806307,25.83428940887771,24.779380982948748,1.0425720249692625,2.121131223355229,1.0554687599820969,29.449727175678053,21.06834749319193,27.21402890712386,0.7741723052141256,1.404293631456919,0.8384712857995973,34.34404249480354
