Period,Name,Weight,IS CAGR,IS Vol,IS Sharpe,IS Sortino,IS IR,IS MaxDD,OS CAGR,OS Vol,OS Sharpe,OS Sortino,OS IR,OS IR HFRXSDV Base,OS IR SG Trend Index,OS MaxDD,OS IR Efficient Capital Best Trend 15v,OS IR Abrdn MOSERS Trend
2007-02-28,Equal Weight,,13.128465366465058,6.902899612350863,1.600090679225824,4.06656351223076,1.557184606940563,4.589150394005282,12.193409525489507,5.703159709198928,1.221000746859507,2.6475357174580725,1.2096094526284824,2.0487359125016313,0.08899351201890335,0.7485320599291028,,
2007-02-28,User Weight,,14.002331393340661,7.046053224282879,1.6894852168346597,4.445730271355008,1.6372078682650537,4.720078615613943,12.518603641817716,5.673408085904143,1.2831815538374995,2.9039105049809897,1.2680278791143562,1.979127348425025,0.17630185937850507,0.8010850531612769,,
2007-02-28,,,,,,,,,,,,,,,,,,
2007-02-28,Lynx Fund,14.11193239520078,14.498319228703638,12.0,1.0350912547914426,2.1316797229923536,1.0377753907797285,7.88544415802146,4.196187912587779,11.08325533071121,-0.06261867146344922,-0.08525018583024088,-0.011376304607646173,6.612119860447086,-0.4667255912265206,-0.20655856239907286,,
2007-02-28,The Winton Fund,9.939103126539912,9.029391458125335,11.999999999999996,0.5877442313701521,0.9700654978424168,0.6278368108720048,7.618667938460122,8.568087237310596,7.704852145122308,0.45171210600900347,0.6856002922594411,0.48024812949944656,3.796540228687084,-0.1613299184337825,0.5566582253084622,,
2007-02-28,Kaiser Global Diversified Program,11.12655520314833,10.310970025806764,12.0,0.6938176021896627,1.1810756233929551,0.7266642985149081,9.167680548056667,20.22296124437539,13.269553732132197,1.1020122467027693,1.8531316146127925,1.0952566272286752,7.268306350554576,0.5646417649244589,0.9368502319726991,,
2007-02-28,FORT Global Contrarian Program,13.850396470990884,14.151773569676674,12.000000000000004,1.0060236125435695,1.7008813535964096,1.0126633443705841,11.420974537612427,11.422631030837094,7.153803279800651,0.8742425718240541,1.4826063882694382,0.8828598425167923,3.7840190966431098,0.025190495253327172,0.5154744980749181,,
2007-02-28,Campbell Managed Futures Portfolio,12.37480311310037,12.11816863545665,12.0,0.8432963511276398,1.6213306473463238,0.8636266044207117,9.850781583858536,4.708304389028872,12.906419877445563,-0.015802916993175296,-0.025430352561957054,0.04278425249815364,7.930219546622963,-0.2807139773778649,-0.08386463058879044,,
2007-02-28,ETC Evolution Strategy,10.14400715529004,8.985520780704782,12.0,0.5859434571057436,1.130704408511398,0.6252499873784703,10.817172801095577,7.161063098350096,14.358950859185832,0.1495484824122444,0.23435179360742095,0.21352551211642343,4.707988033397359,-0.20284919664665704,0.10555092750388251,,
2007-02-28,Fulcrum Multi Asset Trend Fund,18.0,22.99193086900051,12.0,1.7326522449761859,3.6833043808258052,1.6442180970856366,7.7952234297342216,20.933042759277033,11.87298756570745,1.295465179219507,2.5608003126879515,1.266248128148725,2.910649323473391,0.6392047648556921,0.7970391636783762,,
2007-02-28,Boronia Diversified Program,10.453202535729682,9.413692632503622,12.0,0.6185289526990293,1.1972860494218924,0.6557777225995027,7.2942958622340015,18.062109953272177,7.359084061301828,1.7137794017506707,3.9153076916928113,1.65559631879555,1.7829018654519246,0.5063760066411774,0.8770137663844234,,
2008-02-29,Equal Weight,,10.675620243698702,6.056165559810055,1.218881316679779,2.5635026433731274,1.2087303548201471,4.50001223036387,23.92645218254097,9.66853257983339,1.912353894661963,4.400810016906452,1.8115880380219167,4.646458822392308,0.384822411361945,-0.28912520145087667,,
2008-02-29,User Weight,,11.675508243774457,5.891007700275134,1.420203027721431,3.247403527865053,1.3969665913452531,4.059759900446913,23.596822760620473,8.859085463514155,2.0516095932145584,5.000586681805181,1.939005933021363,3.906802017024291,0.35760102023440454,-0.30642174598705585,,
2008-02-29,,,,,,,,,,,,,,,,,,
2008-02-29,Lynx Fund,9.60176183160635,6.800814759202178,12.000000000000002,0.2967486826215561,0.487756145148309,0.3499229598834448,7.653296122913133,31.971953915361738,17.21515668706429,1.5148948333493912,2.834709004459933,1.4381505849163205,8.483405794980891,1.000885070158842,0.8793891636657334,,
2008-02-29,The Winton Fund,11.042279531659677,8.51282464665928,12.000000000000002,0.4352082518986303,0.6720271188426986,0.4836533821493186,8.838903119077324,27.42814826240918,10.020308018780105,2.1816620244130704,5.545062016068874,2.035444634619149,1.63048948646215,0.7164988053556418,0.3565706779744013,,
2008-02-29,Kaiser Global Diversified Program,16.071728482902863,13.825997369072397,12.000000000000002,0.8661489807547661,1.4389695675170653,0.8855772961501778,8.780350482069698,45.73510585591405,11.836031477096348,3.332140758910915,6.879588969068519,2.903576718919171,0.22814626982924358,1.5289108031896086,0.9672684596872771,,
2008-02-29,FORT Global Contrarian Program,15.416084404365002,13.077595321754366,12.0,0.80616856015385,1.1511012273082266,0.8324263258373605,14.714013692369676,13.684094349602471,18.1766164654606,0.4723039392815097,0.735829959828154,0.5382369135977088,13.723572682255359,0.05358384507288818,-0.8965074355194659,,
2008-02-29,Campbell Managed Futures Portfolio,9.681328860362996,6.843181453537173,12.0,0.30163692469511705,0.48222121818894853,0.35462320056268104,10.742224012888046,-6.1267350807054815,21.422549742325977,-0.48771171912555733,-0.6116613250551741,-0.41212593958581545,18.516742539630314,-0.7162389238497174,-2.438605622699405,,
