Name,Weight,IS CAGR,IS Vol,IS Sharpe,IS Sortino,IS IR,IS MaxDD,OS CAGR,OS Vol,OS Sharpe,OS Sortino,OS IR,OS MaxDD
Equal Weight,,10.0041428621916,8.088204013842748,1.2368806282667666,2.3298985418856786,1.2236824795488765,10.53429472536731,5.457563129898357,8.54346582068917,0.6387996680085174,1.0425586591225675,0.6657890908094153,13.137991570743491
User Weight,,11.57932177969001,8.094927730037545,1.4304416501117179,2.8250487276157417,1.3998295428180965,10.296651365341047,5.518909999512855,8.558439396244017,0.6448500414614025,1.0458444417263453,0.6716191868074882,16.789454583425833
,,,,,,,,,,,,,
Lynx Fund,6.412400781750156,6.803570405963044,11.956570214514844,0.5690235815036452,0.9492758815779337,0.6111773317328695,33.69296491363547,5.579184745975008,13.03141010670969,0.4281336171825614,0.6888763608438726,0.48182805083789254,27.170334291782428
The Winton Fund,7.585142578910466,8.863654653509645,11.910477995114363,0.7441896670432107,1.306810459800295,0.7745154750880108,20.791412800453337,6.8405661064042,10.731037502735404,0.6374561737073884,1.0920416632361223,0.6712385649098215,14.00881861852168
Kaiser Global Diversified Program,8.48340906426556,7.160924035242933,12.056925892967685,0.5939261880525954,0.9884995022475753,0.635083352537899,20.768251844405803,6.196342627686069,13.207536909723608,0.4691520205500405,0.7536545853875541,0.5217873761203717,20.099314296872283
FORT Global Contrarian Program,3.249442507878996,9.256370641204947,11.918501657760604,0.7766387845554195,1.2248556112690978,0.8050045416934712,14.714013692369686,0.40419651610825724,16.595518306348197,0.024355763323983804,0.032474142492141776,0.10808588190400054,26.580122132647933
Campbell Managed Futures Portfolio,1.1608490512349139,9.44890056897043,11.935993758397432,0.7916308235602725,1.4516637844132367,0.8172275949544193,10.742224012888036,-0.85712129879707,17.35286119305014,-0.0493936584440812,-0.06801465209949892,0.03480738672004946,18.516742539630314
ETC Evolution Strategy,5.194633217638765,6.195361196606353,11.954504087676757,0.5182449352284559,0.8662350081879635,0.5631478222456683,26.20438696935282,6.120413603217378,13.228457145977199,0.4626702521449078,0.7751515258467377,0.5149602209729751,20.66284787298722
Fulcrum Multi Asset Trend Fund,6.243659419101868,12.827029558399383,11.980053954270666,1.0706988138251905,2.000277841269787,1.071429164866975,13.920028861061084,8.818112750504458,11.845435082155767,0.7444313095589258,1.3073960212798597,0.7739687734972617,13.159775086232706
Boronia Diversified Program,3.3668153364369497,9.651922862202532,12.056266246954083,0.8005731347083525,1.5417991992326436,0.8262545817492202,24.180935550389314,6.926184323134055,13.326592601225398,0.5197265745556882,0.9442241564792766,0.5683792322561889,22.491899285501326
Quantica Managed Futures Program,8.731714222584717,7.529778134569609,11.896120973826882,0.632960790423716,1.0411396830247186,0.6712699854358078,25.327045662563762,5.661227594933371,12.1130586643871,0.46736565485129017,0.7387555901901226,0.5159009617073854,23.96033053776336
Systematica BlueTrend,5.407111746907275,9.406604837527887,12.076482833013664,0.7789192406097668,1.2860726425185571,0.8073001042213317,27.34642270713451,3.2577990975271476,11.820630670089457,0.2756028158269573,0.41103191608268075,0.33020128729399795,19.370088562702882
RGN Diversified Program,1.274628609872463,18.20086652566948,11.990358552339957,1.517958486914265,3.276483102314506,1.4622560409810523,14.598737154902741,-9.979991341087901,10.125404157478322,-0.985638813608934,-1.1262938322139269,-0.9847160119807307,19.147078296179487
Drury Diversified Trend-Following Program,0.8881073323455206,5.247189670866614,12.023267683823656,0.43641959980033446,0.705459529363628,0.48496055551382916,18.24355604146256,-8.49941486488146,9.255035236883707,-0.9183557541746676,-1.031693753896132,-0.9113997286745538,17.03695798384124
Auspice Diversified Trust,1.4191905266615057,4.787054434719851,11.958827831778315,0.4002946193438091,0.7205537505493461,0.4498934100167483,24.40359210919869,-8.715662913855793,8.740324084665376,-0.9971784603670647,-1.115766522537787,-0.9963413948449088,26.766448643915542
AHL Evolution,8.319482085063026,12.929866121751509,11.877675028242596,1.0885856104841247,1.9750725754674932,1.0877415034823588,12.553865207335846,9.020182825290668,12.679764646748055,0.7113840892625756,1.117787552139461,0.7470576703145391,16.379641363702646
Higher Moment Capital Aurora Fund,2.63703497993192,9.776173141308142,11.91594639881096,0.8204277540459283,1.309450802859242,0.8450967830444359,14.148382428127215,7.648013250110219,13.99273954475655,0.5465701141400958,0.8374672145085894,0.5972761194917223,16.54107405739449
AlphaSimplex Managed Futures Strategy,2.4221740533728853,6.871418124062689,12.058989329381372,0.5698170830386823,0.9585114672314342,0.6120310475322298,31.826617753406083,-7.672523141792342,12.390312917901882,-0.619235623234895,-0.7806108894766701,-0.5809935910838092,27.89125319218906
Millburn Commodity Program,6.328851244414641,14.08970059975163,11.908512310035515,1.1831621140348478,2.463720187512349,1.1712112323764945,18.972718067378203,9.676147553166459,12.10521999069321,0.7993367787289879,1.5432249508108038,0.8248295471155443,15.780060386277428
John Street Vantage Strategy,1.8947368421052628,13.532168836239556,11.996871193813858,1.1279748375740974,2.2146466700729315,1.121799849020062,9.02800609296598,5.061574116320577,12.746039506811801,0.39710955811925314,0.6692668293161966,0.44854599333147516,7.821536388759287
Systematica Alternative Markets,4.196317337960799,13.553711779266298,11.910100135512916,1.138001496633311,2.0365166446881773,1.1319099170606992,13.643956212563257,9.751615634440114,12.84652043456265,0.7590861419722718,1.271444009336686,0.7903852344231338,16.570151229220155
John Street Systematic Strategy,3.75416616589141,12.201902041168932,11.911501176265766,1.0243798712358612,1.7982991178777663,1.0300472217653351,13.40997711294457,8.4285450235841,11.752017531546068,0.7171998340675774,1.1576717917669215,0.7486374542489137,21.88706263021315
