Period,cagr,vol,sharpe,sortino,information_ratio,max_drawdown,ir_HFRXSDV Base,ir_SG Trend Index,ir_Efficient Capital Best Trend 15v,ir_Abrdn MOSERS Trend
2007-02-28,0.04196187912587779,0.1108325533071121,-0.06261867146344922,-0.08525018583024088,-0.011376304607646173,0.06612119860447085,-0.4667255912265206,-0.20655856239907286,,
2007-02-28,0.08568087237310595,0.07704852145122308,0.45171210600900347,0.6856002922594411,0.48024812949944656,0.03796540228687084,-0.1613299184337825,0.5566582253084622,,
2007-02-28,0.20222961244375393,0.13269553732132197,1.1020122467027693,1.8531316146127925,1.0952566272286752,0.07268306350554576,0.5646417649244589,0.9368502319726991,,
2007-02-28,0.11422631030837094,0.07153803279800651,0.8742425718240541,1.4826063882694382,0.8828598425167923,0.0378401909664311,0.025190495253327172,0.5154744980749181,,
2007-02-28,0.04708304389028872,0.12906419877445563,-0.015802916993175296,-0.025430352561957054,0.04278425249815364,0.07930219546622963,-0.2807139773778649,-0.08386463058879044,,
2007-02-28,0.07161063098350096,0.14358950859185832,0.1495484824122444,0.23435179360742095,0.21352551211642343,0.04707988033397359,-0.20284919664665704,0.10555092750388251,,
2007-02-28,0.20933042759277032,0.1187298756570745,1.295465179219507,2.5608003126879515,1.266248128148725,0.02910649323473391,0.6392047648556921,0.7970391636783762,,
2007-02-28,0.18062109953272176,0.07359084061301828,1.7137794017506707,3.9153076916928113,1.65559631879555,0.017829018654519246,0.5063760066411774,0.8770137663844234,,
2008-02-29,0.3197195391536174,0.1721515668706429,1.5148948333493912,2.834709004459933,1.4381505849163205,0.08483405794980892,1.000885070158842,0.8793891636657334,,
2008-02-29,0.2742814826240918,0.10020308018780105,2.1816620244130704,5.545062016068874,2.035444634619149,0.0163048948646215,0.7164988053556418,0.3565706779744013,,
2008-02-29,0.4573510585591405,0.11836031477096348,3.332140758910915,6.879588969068519,2.903576718919171,0.0022814626982924358,1.5289108031896086,0.9672684596872771,,
2008-02-29,0.13684094349602471,0.18176616465460602,0.4723039392815097,0.735829959828154,0.5382369135977088,0.13723572682255358,0.05358384507288818,-0.8965074355194659,,
2008-02-29,-0.06126735080705481,0.21422549742325978,-0.48771171912555733,-0.6116613250551741,-0.41212593958581545,0.18516742539630315,-0.7162389238497174,-2.438605622699405,,
2008-02-29,0.6050035509665259,0.18368652727829504,2.9222982381791476,9.179721968569355,2.463438091666435,0.021026610996468187,1.7160096263674043,2.163140485958496,,
2008-02-29,0.08979124869852395,0.09926541453704107,0.40571636594772587,0.6120932102472456,0.44436121754557956,0.06616273416032947,-0.23040406133822774,-0.646152187742355,,
2008-02-29,0.14617047011217643,0.10535694915211632,0.9014974085154699,1.9802131180055675,0.9117906119406205,0.050522306553298146,0.04646317678878384,-0.40267386307951525,,
2009-02-28,0.07897233695280304,0.07935499820367573,0.8098474660464551,1.531920607919022,0.8230758230160147,0.05969198302131673,-1.1513751416495583,-0.3293302420919886,-2.9614624341914175,
2009-02-28,0.23646131191434194,0.18232808820969948,1.2074937879112877,2.6121877743057937,1.1810397565001378,0.07028085534378536,-0.11197792726002691,1.2875312566594703,-0.2724689420732397,
2009-02-28,0.1688408399768484,0.12799929574168525,1.1947009349273134,2.424775235951111,1.1761149233444759,0.048887982391273344,-0.48158774514373526,0.8433528567311632,-1.0789958568906608,
2009-02-28,0.07457729289722326,0.08795598849129217,0.6760123000834735,1.178268092545524,0.6986723637190614,0.06684074031182063,-1.0599911892956546,-0.5170759771900562,-3.080258478899909,
2009-02-28,0.22815435803342177,0.08294303118399975,2.519224478824577,5.895598918715652,2.3418119147739445,0.03456134006299538,-0.41120506129808476,0.9062995105695163,-0.707964150986089,
2009-02-28,-0.0996334594943189,0.20371733821231705,-0.5476593687912373,-0.7211249197993466,-0.4832691228739347,0.22545524158955244,-1.8182555063099097,-0.8452327672043586,-1.9148061666883414,
2009-02-28,-0.00593598114089855,0.07846905815561858,-0.24712600899825482,-0.31119290470243216,-0.21259216637703518,0.07759509597800252,-1.3936261468782847,-1.2720457005203047,-3.364666562293201,
2009-02-28,0.3268398516951405,0.14405563902489824,2.1262311666658205,5.909873729190845,1.9385212595670565,0.0606788730151987,0.15718800590083346,1.1516025075392855,0.16980990578616487,
2009-02-28,0.4909528366537428,0.14948739080630188,3.145581714378199,11.193870054639142,2.6858775011511686,0.03443591959061543,0.6156587267287196,2.2437015192588485,0.9255043005180112,
2010-02-28,0.006058604051563554,0.11281998120984844,0.03777332689347588,0.054605583530212796,0.089485680051298,0.07806514867789016,0.7285309937970512,1.5065184085257217,2.745410430905859,
2010-02-28,-0.04994908905896711,0.112247260354554,-0.4603815230744597,-0.637113141513036,-0.4203101359006416,0.0821095902045107,0.3717920920081474,0.5124972236893728,2.1656186834862416,
2010-02-28,0.04773941610586685,0.10032165866036565,0.45750331771501823,0.791899472530551,0.4938518729225933,0.0571387538356265,1.106211273033503,3.019221452387475,5.127094287904693,
2010-02-28,-0.05860617348830521,0.09106962452420746,-0.6620824152289799,-0.9858634261134733,-0.63988643374551,0.07774545056108684,0.4143596696070187,0.206441015727576,2.153628997785649,
2010-02-28,-0.1524965481678472,0.1953120288303894,-0.7890277127141939,-0.979053852828042,-0.7604638773252712,0.18349430165939062,-0.15320854128084302,-0.6556503715671527,0.39506895080848425,
2010-02-28,-0.1011721920436337,0.1365387499441967,-0.7534923547659156,-0.9359972210891215,-0.7286000212288104,0.12512445866632527,0.06472460919635269,-0.413368488618782,1.2222883086025895,
